goos: windows
goarch: amd64
pkg: jr_cache_compare
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSetOverwrite/dgraph-io/ristretto/10000-24                 	 2656006	       223.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkSetOverwrite/dgraph-io/ristretto/100000-24                	 3090940	       220.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkSetOverwrite/maypok86/otter/10000-24                      	 4144590	       153.6 ns/op	      49 B/op	       1 allocs/op
BenchmarkSetOverwrite/maypok86/otter/100000-24                     	 3556710	       150.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkSetOverwrite/Yiling-J/theine/10000-24                     	 3732075	       148.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/Yiling-J/theine/100000-24                    	 2948088	       193.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/bluele/gcache-LRU/10000-24                   	 9774804	        58.47 ns/op	      23 B/op	       1 allocs/op
BenchmarkSetOverwrite/bluele/gcache-LRU/100000-24                  	 7753810	        77.30 ns/op	      24 B/op	       1 allocs/op
BenchmarkSetOverwrite/bluele/gcache-LFU/10000-24                   	10487254	        56.02 ns/op	      23 B/op	       1 allocs/op
BenchmarkSetOverwrite/bluele/gcache-LFU/100000-24                  	 8063734	        72.55 ns/op	      23 B/op	       1 allocs/op
BenchmarkSetOverwrite/allegro/bigcache/10000-24                    	 7485300	        79.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/allegro/bigcache/100000-24                   	 5129265	       120.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/coocood/freecache/10000-24                   	11848036	        50.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/coocood/freecache/100000-24                  	 5357773	       114.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/patrickmn/go-cache/10000-24                  	16681911	        35.63 ns/op	       7 B/op	       0 allocs/op
BenchmarkSetOverwrite/patrickmn/go-cache/100000-24                 	12963919	        46.45 ns/op	       7 B/op	       0 allocs/op
BenchmarkSetOverwrite/orcaman/concurrent-map/10000-24              	19097940	        43.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/orcaman/concurrent-map/100000-24             	12774627	        49.62 ns/op	       0 B/op	       0 allocs/op
